feature,importance
seconds_elapsed,1378
time_remaining,874
score_diff,799
total_goals,766
score_ratio,565
score_change_5min,559
recent_goals,363
minutes_elapsed,283
score_diff_abs,183
last_event_FACEOFF,55
last_event_SHOT,51
time_normalized,36
last_event_GOAL,23
home_leading,20
recent_shot,17
away_leading,17
last_event_PENALTY,3
is_regulation,2
period,2
tied,2
recent_goal,2
strength_PK,0
home_pp,0
away_pp,0
home_pk,0
away_pk,0
is_overtime,0
recent_penalty,0
is_shootout,0
