feature,importance
seconds_elapsed,1383
time_remaining,1040
score_diff,876
total_goals,564
score_change_5min,532
score_ratio,481
recent_goals,414
minutes_elapsed,225
score_diff_abs,154
time_normalized,80
last_event_FACEOFF,65
last_event_SHOT,50
last_event_PENALTY,31
last_event_GOAL,21
home_leading,17
period,10
away_leading,9
recent_penalty,7
recent_shot,6
tied,3
recent_goal,2
home_pk,0
away_pk,0
away_pp,0
home_pp,0
strength_PK,0
last_event_GAME_END,0
is_shootout,0
is_overtime,0
is_regulation,0
strength_EV,0
