feature,importance
seconds_elapsed,1429
time_remaining,972
total_goals,706
score_diff,661
score_change_5min,559
score_ratio,496
recent_goals,343
minutes_elapsed,299
score_diff_abs,184
last_event_FACEOFF,92
last_event_SHOT,89
last_event_GOAL,49
time_normalized,28
recent_shot,20
last_event_PENALTY,19
home_leading,17
away_leading,16
tied,8
recent_goal,5
recent_penalty,4
period,3
is_regulation,1
is_overtime,0
strength_PK,0
home_pp,0
away_pp,0
home_pk,0
away_pk,0
is_shootout,0
