feature,importance
seconds_elapsed,1091
time_remaining,740
total_goals,589
score_diff,582
score_change_5min,480
recent_goals,343
score_ratio,242
minutes_elapsed,176
score_diff_abs,116
last_event_FACEOFF,70
last_event_SHOT,57
last_event_PENALTY,50
time_normalized,38
last_event_GOAL,28
recent_shot,19
period,12
away_leading,11
recent_penalty,11
home_leading,10
tied,9
recent_goal,6
is_shootout,0
strength_PK,0
home_pp,0
away_pp,0
home_pk,0
away_pk,0
is_overtime,0
is_regulation,0
last_event_GAME_END,0
strength_EV,0
